,Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,RECTgt,RECRec,RECYds,RECY/R,RECTD,RECY/G,RECCtch%,RECY/Tgt,TotYds,TotTD,TotY/G,MVP
124,125,Jerome Bettis*\BettJe00,1993,21,1-10,RAM,NFL,16,12.0,294,1429,4.86,7,89.3,34.0,26,244,9.38,0,15.3,76.5%,7.18,1673,7,104.6,0
125,126,Arian Foster\FostAr00,2012,26,,HOU,NFL,16,16.0,351,1424,4.06,15,89.0,58.0,40,217,5.43,2,13.6,69.0%,3.74,1641,17,102.6,0
126,127,Walter Payton*\PaytWa00,1983,29,1-4,CHI,NFL,16,16.0,314,1421,4.53,6,88.8,,53,607,11.45,2,37.9,,,2028,8,126.69999999999999,0
127,128,Priest Holmes\HolmPr00,2003,30,,KAN,NFL,16,16.0,320,1420,4.44,27,88.8,90.0,74,690,9.32,0,43.1,82.2%,7.67,2110,27,131.9,0
128,129,Warrick Dunn\DunnWa00,2005,30,1-12,ATL,NFL,16,16.0,280,1416,5.06,3,88.5,37.0,29,220,7.59,1,13.8,78.4%,5.95,1636,4,102.3,0
129,130,Steven Jackson\JackSt00,2009,26,1-24,STL,NFL,15,15.0,324,1416,4.37,4,94.4,75.0,51,322,6.31,0,21.5,68.0%,4.29,1738,4,115.9,0
130,131,Ricky Watters\WattRi00,1996,27,2-45,PHI,NFL,16,16.0,353,1411,4.0,13,88.2,70.0,51,444,8.71,0,27.8,72.9%,6.34,1855,13,116.0,0
131,132,Jim Brown*\BrowJi00,1961,25,1-6,CLE,NFL,14,14.0,305,1408,4.62,8,100.6,,46,459,9.98,2,32.8,,,1867,10,133.39999999999998,0
132,133,Otis Armstrong\ArmsOt00,1974,24,1-9,DEN,NFL,14,14.0,263,1407,5.35,9,100.5,,38,405,10.66,3,28.9,,,1812,12,129.4,0
133,134,Thurman Thomas*\ThomTh00,1991,25,2-40,BUF,NFL,15,15.0,288,1407,4.89,7,93.8,,62,631,10.18,5,42.1,,,2038,12,135.9,1
134,135,Stephen Davis\DaviSt00,1999,25,4-102,WAS,NFL,14,14.0,290,1405,4.84,17,100.4,28.0,23,111,4.83,0,7.9,82.1%,3.96,1516,17,108.30000000000001,0
135,136,Thomas Jones\JoneTh00,2009,31,1-7,NYJ,NFL,16,16.0,331,1402,4.24,14,87.6,18.0,10,58,5.8,0,3.6,55.6%,3.22,1460,14,91.19999999999999,0
136,137,Doug Martin\MartDo00,2015,26,1-31,TAM,NFL,16,16.0,288,1402,4.87,6,87.6,44.0,33,271,8.21,1,16.9,75.0%,6.16,1673,7,104.5,0
137,138,Wilbert Montgomery\MontWi00,1981,27,6-154,PHI,NFL,15,15.0,286,1402,4.9,8,93.5,,49,521,10.63,2,34.7,,,1923,10,128.2,0
138,139,Eddie George\GeorEd00,1997,24,1-14,TEN,NFL,16,16.0,357,1399,3.92,6,87.4,12.0,7,44,6.29,1,2.8,58.3%,3.67,1443,7,90.2,0
139,140,Fred Taylor\TaylFr00,2000,24,1-9,JAX,NFL,13,13.0,292,1399,4.79,12,107.6,53.0,36,240,6.67,2,18.5,67.9%,4.53,1639,14,126.1,0
140,141,Emmitt Smith*\SmitEm00,1999,30,1-17,DAL,NFL,15,15.0,329,1397,4.25,11,93.1,32.0,27,119,4.41,2,7.9,84.4%,3.72,1516,13,101.0,0
141,142,Walter Payton*\PaytWa00,1978,24,1-4,CHI,NFL,16,16.0,333,1395,4.19,11,87.2,,50,480,9.6,0,30.0,,,1875,11,117.2,0
142,143,Maurice Jones-Drew\DrewMa00,2009,24,2-60,JAX,NFL,16,16.0,312,1391,4.46,15,86.9,71.0,53,374,7.06,1,23.4,74.6%,5.27,1765,16,110.30000000000001,0
143,144,Walter Payton*\PaytWa00,1976,22,1-4,CHI,NFL,14,14.0,311,1390,4.47,13,99.3,,15,149,9.93,0,10.6,,,1539,13,109.89999999999999,0
