Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,RECTgt,RECRec,RECYds,RECY/R,RECTD,RECY/G,RECCtch%,RECY/Tgt
872,Randy McMillan\McMiRa00,1985,27,1-12,IND,NFL,15,14,190,858,4.52,7,57.2,,22,115,5.23,0,7.7,,
873,Todd Gurley\GurlTo01,2019,25,1-10,LAR,NFL,15,15,223,857,3.84,12,57.1,49,31,207,6.68,2,13.8,63.3%,4.22
874,Butch Woolfolk\WoolBu00,1983,23,1-18,NYG,NFL,16,16,246,857,3.48,4,53.6,,28,368,13.14,0,23.0,,
875,Freeman McNeil\McNeFr00,1986,27,1-3,NYJ,NFL,12,11,214,856,4.00,5,71.3,,49,410,8.37,1,34.2,,
876,Gale Sayers*\SayeGa00,1968,25,1-4 1-5AFL,CHI,NFL,9,9,138,856,6.20,2,95.1,,15,117,7.80,0,13.0,,
877,Wendell Tyler\TyleWe00,1983,28,3-79,SFO,NFL,14,14,176,856,4.86,4,61.1,,34,285,8.38,2,20.4,,
878,Paul Lowe\LowePa00,1960,24,,LAC,AFL,14,11,136,855,6.29,8,61.1,,23,377,16.39,2,26.9,,
879,Chris Warren\WarrCh00,1996,28,4-89,SEA,NFL,14,14,203,855,4.21,5,61.1,46,40,273,6.83,0,19.5,87.0%,5.93
880,Ken Willard\WillKe02,1971,28,1-2,SFO,NFL,14,14,216,855,3.96,4,61.1,,27,202,7.48,1,14.4,,
881,Jim Bertelsen\BertJi00,1973,23,2-30,RAM,NFL,14,14,206,854,4.15,4,61.0,,19,267,14.05,1,19.1,,
882,Donny Anderson\AndeDo00,1970,27,1-7,GNB,NFL,14,14,222,853,3.84,5,60.9,,36,414,11.50,0,29.6,,
883,Isaiah Crowell\CrowIs00,2017,24,,CLE,NFL,16,16,206,853,4.14,2,53.3,42,28,182,6.50,0,11.4,66.7%,4.33
884,Justin Fargas\FargJu00,2008,28,3-96,OAK,NFL,14,14,218,853,3.91,1,60.9,15,10,52,5.20,0,3.7,66.7%,3.47
885,Frank Gore\GoreFr00,2010,27,3-65,SFO,NFL,11,11,203,853,4.20,3,77.5,72,46,452,9.83,2,41.1,63.9%,6.28
